year,Switzerland,Denmark,Sweden,Hungary,Poland,Luxembourg,Slovak Republic,Czech Republic,Netherlands,Austria,Iceland,Lithuania,Germany,Slovenia,United Kingdom,Ireland,Greece,Spain,Latvia,Finland,Belgium,Portugal,Italy,France,Norway,Estonia
2005-01-01,,,63.57929992675781,48.03379821777344,35.72919845581055,66.57219696044922,52.945098876953125,14.309499740600586,57.634498596191406,53.061500549316406,64.47000122070312,35.19329833984375,,41.10110092163086,36.667198181152344,47.326499938964844,31.655399322509766,,32.174598693847656,65.0707015991211,31.694599151611328,43.76169967651367,41.960201263427734,,64.69400024414062,53.34189987182617
2006-01-01,,52.21080017089844,,37.54869842529297,,64.43949890136719,64.94129943847656,39.27199935913086,63.97760009765625,53.9463005065918,68.60459899902344,30.268999099731445,46.63970184326172,59.86199951171875,,50.45650100708008,29.74880027770996,50.960601806640625,49.613399505615234,60.86309814453125,48.7869987487793,46.37969970703125,44.4093017578125,55.157798767089844,70.79679870605469,47.026100158691406
2007-01-01,,71.73200225830078,65.61000061035156,48.70920181274414,33.911800384521484,65.98539733886719,42.00849914550781,32.79199981689453,65.20890045166016,41.08539962768555,65.30560302734375,37.970401763916016,58.73030090332031,56.20220184326172,52.77109909057617,57.1078987121582,34.450599670410156,49.78810119628906,32.72269821166992,63.76409912109375,34.542301177978516,49.0276985168457,43.09980010986328,61.926300048828125,70.48500061035156,48.616798400878906
2008-01-01,,58.15760040283203,65.9832992553711,46.81890106201172,40.753299713134766,73.38359832763672,55.471099853515625,30.36639976501465,69.26119995117188,70.2947998046875,81.07749938964844,40.70309829711914,57.1057014465332,60.02410125732422,50.522499084472656,52.26729965209961,30.875600814819336,53.124698638916016,32.30350112915039,74.6854019165039,36.82149887084961,42.144901275634766,44.46099853515625,68.05490112304688,79.35140228271484,52.877201080322266
2009-01-01,,83.73429870605469,71.09420013427734,49.61439895629883,41.8036003112793,75.69339752197266,50.055198669433594,40.927398681640625,68.08789825439453,66.50599670410156,86.09940338134766,36.18709945678711,60.6697998046875,55.19860076904297,57.402000427246094,54.67789840698242,32.33440017700195,55.10499954223633,44.46770095825195,76.997802734375,53.308799743652344,43.70709991455078,42.60319900512695,64.54280090332031,80.21269989013672,64.53679656982422
2010-01-01,74.61447143554688,88.3021011352539,74.21080017089844,53.25299835205078,45.039798736572266,74.38909912109375,63.56209945678711,33.275299072265625,70.14739990234375,67.90670013427734,87.533203125,38.99549865722656,60.88999938964844,63.41889953613281,56.638301849365234,52.68410110473633,34.67570114135742,58.18090057373047,58.38410186767578,77.73560333251953,57.12379837036133,48.909698486328125,42.28990173339844,74.10140228271484,81.86869812011719,66.71749877929688
2011-01-01,,88.88710021972656,78.3822021484375,54.11970138549805,42.48139953613281,66.33070373535156,61.849700927734375,57.8307991027832,67.5436019897461,64.23380279541016,88.50039672851562,45.92279815673828,60.30569839477539,65.756103515625,45.6531982421875,57.356300354003906,50.34619903564453,55.76599884033203,57.62900161743164,76.12560272216797,57.20130157470703,63.20610046386719,39.05619812011719,71.40750122070312,82.61150360107422,69.03759765625
2012-01-01,,89.11289978027344,83.35810089111328,58.644100189208984,48.49169921875,66.55269622802734,53.11199951171875,40.55419921875,71.49970245361328,65.13310241699219,88.7384033203125,53.34560012817383,60.81669998168945,68.88200378417969,48.864898681640625,62.22719955444336,60.75680160522461,60.99359893798828,63.68709945678711,76.66380310058594,60.83649826049805,61.047000885009766,32.94879913330078,73.94989776611328,81.61109924316406,69.13249969482422
2013-01-01,,89.46309661865234,82.05159759521484,50.157901763916016,34.77190017700195,59.33420181274414,40.314701080322266,38.574798583984375,83.10659790039062,65.73290252685547,84.06749725341797,48.589298248291016,57.26580047607422,69.76820373535156,45.00389862060547,56.30699920654297,58.1260986328125,59.37300109863281,46.419898986816406,75.09259796142578,59.74879837036133,58.376800537109375,33.98749923706055,72.02860260009766,79.49919891357422,59.60649871826172
2014-01-01,78.44802856445312,87.62120056152344,86.89910125732422,63.333900451660156,38.8927001953125,70.14219665527344,68.64510345458984,45.713401794433594,80.15519714355469,71.10130310058594,86.41089630126953,56.76839828491211,60.04990005493164,71.87059783935547,55.57830047607422,63.077301025390625,69.9177017211914,63.35309982299805,69.65689849853516,86.07270050048828,63.916099548339844,61.776100158691406,35.970699310302734,74.41490173339844,84.69419860839844,59.26499938964844
